Full fund name;Fund ISIN;Fund Manager;Fund size;Market sector;Morningstar category;Asset Class;Sharpe ratio 3 year;Standard deviation;OCF/TER(%);rating;(Current Yr-4);(Current Yr-3);(Current Yr-2);(Current Yr-1);(Current Yr);Fund code;Fund currency;Style;Buy;Sell;AMC(%);Distribution frequency;Distribution yield
Aviva Investors Multi-asset Fund III SC R3 Acc;GB00B581Z480;Aviva Investors;727;Financial Services;;;1.19;7.29;0.69;;12.91;9.16;9.62;4.19;14.03;AVMCA;GBP;Active;0.00 ;0.00 ;0.35;6months;
Invesco Perpetual Latin American Y Inc;GB00BJ04JH43;Invesco Perpetual;187;Financial Services;Latin America Equity;Emerging Markets Regional Equity;0.1;24.92;0.95;;;;-20.51;5.33;14.04;ILAYI;GBP;Active;0.00 ;0.00 ;0.95;1year;
BGF Global Equity Income Hedg D5GRF GBP;LU0827881318;BlackRock;1746;Consumer Defensive;Global Equity - Currency Hedged;Global Equity;0.49;10;1.07;;;18.74;-3.21;3.38;14.05;BGGED;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR Acc (GBP);IE00B86MWN23;IShares;1179;Consumer Defensive;Europe Large-Cap Blend Equity;Europe Equity;1.09;10.97;0.25;;;14.09;3.61;17.17;14.08;XIMEV;GBP;Passive;0.00 ;0.00 ;0.25;1year;
F&C MM Lifestyle Defensive Fund B Inc;GB00B4YQGY73;F&C (BMO GAM);252;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.36;5.26;1.03;;13.76;9.39;7.40;1.25;14.09;FCLSD;GBP;Active;0.00 ;0.00 ;0.5;6months;
AXA Framlington Health Fund Z Acc;GB00B6WZJX05;AXA IM;543;Healthcare;Sector Equity Healthcare;Global Equity;1.04;14.56;0.82;;23.30;19.20;34.57;3.78;14.10;FMHEA;GBP;Active;0.00 ;0.00 ;0.75;6months;
BlackRock Consensus 70 Fund D Acc;GB00B86MM213;BlackRock;43;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.28;6.74;0.23;4;;5.70;5.05;7.95;14.12;MCCDC;GBP;Active;0.00 ;0.00 ;0.2;6months;
BGF Latin American Hedged D2RF GBP;LU0827884411;BlackRock;1103;Financial Services;Global Emerging Markets Equity - Currency Hedged;Emerging Markets Global Equity;-0.11;24.43;1.34;;;12.05;-22.30;-9.64;14.12;BGLMD;GBP;Active;0.00 ;0.00 ;1;1year;
VT UK Infrastructure Income Fund C GBP Net Accumulation;GB00BYVB3M28;Valu-Trac;0;Industrials;Sector Equity Infrastructure;Global Equity;;;0.75;;;;;;14.13;VTUCA;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Aberdeen Multi-Manager Multi-Asset Distribution Portfolio Class I - Inc;GB00B8HP4451;Aberdeen;44;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.06;6.23;1.44;;;8.31;4.92;1.95;14.14;CMDPI;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
Fidelity Funds - ASEAN Fund Y-ACC-USD;LU0346390510;Fidelity;667;Financial Services;ASEAN Equity;Asia Pacific Equity excl Japan;0.57;14.41;1.08;4;18.53;-7.97;0.80;12.74;14.14;YASE;USD;Active;0.00 ;0.00 ;0.8;1year;
Aberdeen Multi-Manager Multi-Asset Distribution Portfolio Class I - Acc;GB00B8340374;Aberdeen;44;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.06;6.23;1.44;;13.08;8.47;4.92;1.96;14.15;CMDPA;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
Schroder Managed Wealth Portfolio Z Accumulation;GB00B84YNB54;Schroder;154;Financial Services;GBP Flexible Allocation;Mixed Assets - Flexible;1.38;5.17;1.19;;10.66;3.51;5.80;4.02;14.15;SZMWA;GBP;Active;0.00 ;0.00 ;0.75;1year;
AXA Framlington Health Z INC;GB00BRJZVQ71;AXA IM;543;Healthcare;Sector Equity Healthcare;Global Equity;1.04;14.54;0.82;;22.51;18.31;34.02;3.74;14.15;FMHZI;GBP;Active;0.00 ;0.00 ;0.75;6months;
SVS Cornelian Managed Growth Fund D Acc;GB00B3KXCP84;Cornelian;220;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.34;5.76;1.2;5;17.54;8.22;7.24;2.52;14.16;COMGA;GBP;Active;0.00 ;0.00 ;0.75;6months;
MGTS Future Money Income R Acc;GB00B8KBJC34;Margetts;39;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.94;6.33;1.63;;14.12;10.23;4.55;0.35;14.17;MRMIA;GBP;Active;0.00 ;0.00 ;0.75;6months;
MGTS Future Money Income R Inc;GB00B5MFQ093;Margetts;39;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.94;6.32;1.63;;14.16;10.22;4.54;0.34;14.17;MRMII;GBP;Active;0.00 ;0.00 ;0.75;6months;
Close Balanced Portfolio Fund - X (Accumulation);GB00B7KDKJ66;Close Brothers;1102;Technology;;;1.03;6.9;0.85;;16.16;9.30;9.26;-0.62;14.17;CLBLA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Schroder Managed Wealth Portfolio Z Income;GB00B7134X76;Schroder;154;Financial Services;GBP Flexible Allocation;Mixed Assets - Flexible;1.38;5.17;1.19;;;3.64;5.81;4.02;14.18;SZMWI;GBP;Active;0.00 ;0.00 ;0.75;1year;
SVS Cornelian Managed Growth Fund D Inc;GB00B3N13674;Cornelian;220;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.34;5.76;1.2;5;17.54;8.20;7.25;2.50;14.19;COMGI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Invesco Perpetual Income Y Acc;GB00BJ04HW53;Invesco Perpetual;5636;Financial Services;UK Equity Income;UK Equity Income;0.89;8.36;0.86;;;;10.21;-0.33;14.19;IINYA;GBP;Active;0.00 ;0.00 ;0.86;6months;
Invesco Perpetual Income Y Inc;GB00BJ04HX60;Invesco Perpetual;5634;Financial Services;UK Equity Income;UK Equity Income;0.9;8.36;0.86;;;;10.21;-0.30;14.20;IINYI;GBP;Active;0.00 ;0.00 ;0.86;6months;
Invesco Perpetual High Income Y Acc;GB00BJ04HP86;Invesco Perpetual;11004;Financial Services;UK Equity Income;UK Equity Income;0.94;8.54;0.87;;;;10.13;1.37;14.23;IHIYA;GBP;Active;0.00 ;0.00 ;0.87;6months;
CF Canlife UK Equity Fund C Inc;GB00BCZNXX14;Canada Life;489;Consumer Defensive;UK Large-Cap Blend Equity;UK Equity;0.43;11.85;0.8;;;;12.55;-11.55;14.24;CNUKI;GBP;Active;0.00 ;0.00 ;0.75;6months;
CF Canlife UK Equity Fund C Acc;GB00B9J7KW65;Canada Life;489;Consumer Defensive;UK Large-Cap Blend Equity;UK Equity;0.44;11.85;0.8;;;;12.73;-11.55;14.25;CNUKA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Invesco Perpetual High Income Y Inc;GB00BJ04HQ93;Invesco Perpetual;11004;Financial Services;UK Equity Income;UK Equity Income;0.94;8.54;0.87;;;;10.15;1.38;14.25;IHIYI;GBP;Active;0.00 ;0.00 ;0.87;6months;
Schroder MM Diversity Balanced Fund (NURS) Z Inc;GB00B7HYNJ30;Schroders;245;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.09;5.97;1.31;;;7.79;5.13;1.08;14.27;CXDBI;GBP;Active;0.00 ;0.00 ;0.5;6months;
iShares MSCI AC Far East ex-Japan Small Cap UCITS ETF USD Dist (GBP);IE00B2QWDR12;IShares;48;Technology;;;0.61;15.11;0.74;2;17.42;-1.63;11.19;-3.35;14.36;XIMEE;GBP;Passive;0.00 ;0.00 ;0.25;6months;
Rathbone Strategic Growth Portfolio S Income;GB00B86NX655;Rathbones;293;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.44;5.6;0.82;;14.31;7.44;7.66;4.41;14.37;RASGI;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
Rathbone Strategic Growth Portfolio S Accumulation;GB00B86QF242;Rathbones;293;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.44;5.6;0.82;;14.56;7.42;7.64;4.41;14.38;RASGA;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
Schroder MM Diversity Balanced Fund (NURS) Z Acc;GB00B7K69S70;Schroders;245;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.11;5.94;1.31;;22.28;7.77;5.15;1.13;14.39;CXDBA;GBP;Active;0.00 ;0.00 ;0.5;6months;
Neptune Global Income Fund F Inc;GB00B8JCK028;Neptune;6;Financial Services;Global Equity Income;Global Equity Income;0.6;10.48;0.25;;;9.10;8.67;-4.08;14.40;NPGFI;GBP;Active;0.00 ;0.00 ;0.25;Quarter;
Neptune Global Income Fund F Acc;GB00B91SJC09;Neptune;6;Financial Services;Global Equity Income;Global Equity Income;0.64;10.45;0.25;;;7.82;9.62;-4.01;14.41;NPGFA;GBP;Active;0.00 ;0.00 ;0.25;Quarter;
Vanguard FTSE UK Equity Income Index Fund Acc;GB00B59G4H82;Vanguard;1057;Financial Services;UK Equity Income;UK Equity Income;0.56;9.87;0.22;;19.75;12.16;3.32;-1.17;14.45;VAFIA;GBP;Passive;0.40 ;0.00 ;0.22;6months;
Vanguard FTSE UK Equity Income Index Fund Inc;GB00B5B74684;Vanguard;1057;Financial Services;UK Equity Income;UK Equity Income;0.56;9.87;0.22;;19.75;12.16;3.32;-1.17;14.46;VAFAI;GBP;Passive;0.40 ;0.00 ;0.22;6months;
Fidelity Funds - Asia Pacific Property Fund Y-ACC-USD;LU0346390783;Fidelity;9;Real Estate;Property - Indirect Asia;Property - Listed;0.89;12.96;1.06;4;26.99;-7.25;7.33;15.76;14.47;YAPP;USD;Active;0.00 ;0.00 ;0.8;1year;
Unicorn Outstanding British Companies B Acc;GB00B1GGDH66;Unicorn;48;Industrials;UK Flex-Cap Equity;UK Equity;1.16;9.6;0.86;;28.41;7.08;14.64;3.59;14.47;UCOBA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Edinburgh Investment Trust Plc;GB0003052338;Invesco Perpetual;897;Consumer Defensive;UK Large-Cap Blend Equity;UK Equity;1.1;9.85;0.61;;21.52;15.71;10.38;8.99;14.47;EDINL;GBP;Active;0.50 ;0.00 ;0.55;Quarter;
Stewart Investors Asia Pacific Leaders B Inc;GB00B57S0V20;First State;9494;Technology;Asia-Pacific ex-Japan Equity;Asia and Emerging Markets;1.03;12.23;0.9;4;16.30;5.15;15.69;11.60;14.48;FTABI;GBP;Active;0.00 ;0.00 ;0.85;6months;
Stewart Investors Asia Pacific Leaders B Acc;GB0033874768;First State;9602;Technology;Asia-Pacific ex-Japan Equity;Asia and Emerging Markets;1.03;12.24;0.88;;16.32;5.21;15.69;11.61;14.50;FTALB;GBP;Active;0.00 ;0.00 ;0.85;6months;
Henderson Multi-Manager Managed Fund A Inc;GB0031412850;Henderson;408;Financial Services;;;1.06;6.99;2.38;;18.34;8.18;5.82;2.31;14.51;NSMGI;GBP;Active;0.00 ;0.00 ;1.5;1year;
Architas MA Passive Intermediate A Acc;GB00B82VBH08;Architas;359;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.26;7.05;0.62;;10.60;6.33;6.93;7.65;14.52;ACPIA;GBP;Active;0.00 ;0.00 ;0.45;6months;2.54
Architas MA Passive Intermediate D Acc;GB00BNGNDH18;Architas;359;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.29;7.05;0.47;;10.22;5.86;6.98;7.92;14.60;ACIDA;GBP;Active;0.00 ;0.00 ;0.3;6months;0
MI Momentum Focus 5 A Accumulation shares;GB00B7GSHR29;Momentum;15;Financial Services;;;1.09;7.02;1.49;;;7.33;5.34;3.98;14.61;MOMVA;GBP;Active;0.00 ;0.00 ;0.5;6months;
Old Mutual Creation Moderate Portfolio R Acc;GB00B8HHRQ45;Old Mutual;264;Consumer Cyclical;;;0.73;6.69;1.1;;14.84;7.80;5.73;-4.20;14.62;SKSPA;GBP;Active;0.00 ;0.00 ;1.1;6months;
The City of London Investment Trust plc;GB0001990497;Henderson Global Investors;619;Financial Services;UK Large-Cap Blend Equity;UK Equity;0.85;9.89;0.42;4;22.80;14.37;6.45;3.05;14.62;CTYLL;GBP;Active;0.50 ;0.00 ;0.36;Quarter;
CF Prudential Dynamic Focused 20-55 Portfolio P Acc;GB00BF232H25;Prudential;139;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.24;5.99;0.89;;12.59;6.65;3.94;4.59;14.63;PRMNA;GBP;Active;0.00 ;0.00 ;0.6;1year;
CF Prudential Dynamic 20-55 Portfolio P Acc;GB00BF232727;Prudential;253;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.08;6.32;1.56;;13.03;8.39;5.44;2.13;14.63;PRCTA;GBP;Active;0.00 ;0.00 ;0.65;1year;
Legal & General Global Health & Pharmaceuticals Index Trust (I) - Inc;GB00B0CNH270;Legal & General;277;Healthcare;Sector Equity Healthcare;Global Equity;1.25;13.13;0.31;;30.63;14.40;25.71;12.06;14.64;LGGPI;GBP;Passive;0.00 ;0.00 ;0.3;1year;
Threadneedle UK Monthly Income RDR Z Inc;GB00B8BV4509;Columbia Threadneedle;604;Financial Services;UK Equity Income;UK Equity Income;0.88;8.66;0.87;;19.84;16.69;8.16;1.17;14.64;THCIZ;GBP;Active;0.00 ;0.00 ;0.75;1month;
Fidelity Funds - America Fund W-ACC-GBP;LU1033662245;Fidelity;6509;Technology;US Large-Cap Blend Equity;North American Equity;1.48;11.13;1.03;;29.12;11.54;21.41;19.32;14.64;WAFWA;GBP;Active;0.00 ;0.00 ;0.8;1year;
Fidelity Funds - US High Yield Fund W-ACC-GBP;LU1033664530;Fidelity;3060;Consumer Cyclical;USD High Yield Bond;North American High Yield Bond;1.44;9.28;0.88;;10.85;-1.74;9.47;18.76;14.65;WUHYA;GBP;Active;0.00 ;0.00 ;0.65;1year;
CF Prudential Dynamic 20-55 Portfolio P Inc;GB00BF232834;Prudential;253;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.09;6.33;1.56;;;;5.49;2.12;14.68;PRTCI;GBP;Active;0.00 ;0.00 ;0.65;1year;
CF Prudential Dynamic Focused 20-55 Portfolio P Inc;GB00BF232J49;Prudential;139;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.24;6;0.89;;;;3.94;4.55;14.69;PRMNI;GBP;Active;0.00 ;0.00 ;0.6;1year;
Old Mutual Managed Fund R Inc;GB00BYXZY302;Old Mutual;208;Financial Services;GBP Flexible Allocation;Mixed Assets - Flexible;;;0.99;;;;;;14.69;GRMRI;GBP;Active;0.00 ;0.00 ;0.25;Quarter;
Henderson US Growth Fund I Acc;GB00B3B4JF96;Henderson;251;Technology;US Large-Cap Growth Equity;North American Equity;0.96;12.88;0.85;2;22.20;11.44;15.21;10.02;14.69;HDUSG;GBP;Active;0.00 ;0.00 ;0.75;6months;
Legal & General Global Health & Pharmaceuticals Index Trust (I) - Acc;GB00B0CNH387;Legal & General;277;Healthcare;Sector Equity Healthcare;Global Equity;1.21;13.19;0.31;;30.84;14.39;25.74;12.05;14.69;LGGPA;GBP;Passive;0.00 ;0.00 ;0.3;1year;
iShares MSCI EM Latin America UCITS ETF USD Dist (GBP);IE00B27YCK28;IShares;425;Financial Services;Latin America Equity;Emerging Markets Regional Equity;0.22;26.84;0.74;3;-8.45;-5.27;-19.78;6.27;14.72;XILAE;GBP;Passive;0.00 ;0.00 ;0.2;6months;
Aberdeen Multi-Manager Cautious Managed Portfolio Class I- Acc;GB00B8GLGR18;Aberdeen;187;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.02;6.14;1.4;;13.36;8.32;4.14;1.71;14.74;CMCMA;GBP;Active;0.00 ;0.00 ;0.5;6months;
Aberdeen Multi-Manager Cautious Managed Portfolio Class I- Inc;GB00B6Z4Y178;Aberdeen;187;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.01;6.2;1.4;;;8.32;4.14;1.70;14.75;CMCMI;GBP;Active;0.00 ;0.00 ;0.5;6months;
Old Mutual Managed Fund R Acc;GB00B1XG9K40;Old Mutual;208;Financial Services;GBP Flexible Allocation;Mixed Assets - Flexible;1.27;5.69;0.99;;24.27;9.11;6.23;1.46;14.75;GRMRA;GBP;Active;0.00 ;0.00 ;0.25;Quarter;
AXA Global Distribution Z Inc;GB0008308982;AXA IM;166;Technology;GBP Moderate Allocation;Mixed Assets - Balanced;1.34;7.39;0.8;;12.04;7.19;4.73;11.66;14.76;AXGLI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Premier Multi-Asset Monthly Income Fund C Acc;GB00BTHH0D93;Premier;651;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.32;5.22;1.4;;19.00;10.78;8.71;-0.76;14.77;PMAIA;GBP;Active;0.00 ;0.00 ;0.75;1month;
Premier Multi-Asset Monthly Income Fund C Income;GB00B7GGPC79;Premier;651;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.35;5.23;1.4;;20.38;11.64;9.18;-0.77;14.77;PMMAI;GBP;Active;0.00 ;0.00 ;0.75;1month;
SLI MyFolio Market III Plat 1 Acc;GB00B758J660;Standard Life;1177;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.19;6.65;0.71;;12.39;8.09;6.38;4.40;14.78;SLMCF;GBP;Active;0.00 ;0.00 ;0.4;1year;
Architas MA Blended Intermediate A Inc;GB00B8FPSZ60;Architas;458;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.23;6.42;1.05;;14.67;6.86;5.26;5.51;14.84;ACBII;GBP;Active;0.00 ;0.00 ;0.6;1year;
Natixis Loomis Sayles Strat Income H-N/D (GBP);GB00B8NVD843;NGAM;18;Technology;Other Bond;Other;0.56;6.89;0.75;;;13.48;-5.28;-0.15;14.87;NTSSI;GBP;Active;0.00 ;0.00 ;0.75;1month;
Architas MA Blended Intermediate A Acc;GB00B8KLDR64;Architas;458;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.23;6.41;1.05;;14.67;6.90;5.16;5.56;14.88;ACBIA;GBP;Active;0.00 ;0.00 ;0.6;1year;
Pictet Biotech-I dy GBP;LU0448836352;Pictet;1074;Healthcare;Sector Equity Biotechnology;Global Equity;0.79;23.13;1.21;2;27.93;21.18;54.61;-19.39;26.74;PIBTI;GBP;Active;0.00 ;0.00 ;0.8;1year;
Natixis Loomis Sayles Strategic Income Fund H-N/A (GBP);GB00B92F0M74;NGAM;18;Technology;Other Bond;Other;0.57;6.9;0.75;;;13.38;-5.31;0.06;14.89;NTSSA;GBP;Active;0.00 ;0.00 ;0.75;1month;
Fidelity Funds - Latin America Fund Y-ACC-USD;LU0346391674;Fidelity;699;Financial Services;Latin America Equity;Emerging Markets Regional Equity;0.29;23.54;1.07;4;0.38;-5.84;-16.09;12.48;14.90;YLAM;USD;Active;0.00 ;0.00 ;0.8;1year;
Fidelity Global Dividend Fund W-Accumulation (UK);GB00B7GJPN73;Fidelity;870;Consumer Defensive;Global Equity Income;Global;1.46;10.05;0.96;;25.38;8.48;8.44;23.55;14.96;WGDIA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Waverton UK Fund A Inc Nav;IE00B1RMZK07;Waverton;20;Consumer Cyclical;UK Large-Cap Blend Equity;UK Equity;0.59;10.98;1.28;3;19.46;13.84;6.75;-4.02;14.97;WVUKI;GBP;Active;0.00 ;0.00 ;1;6months;
F&C MM Navigator Moderate Fund C Inc;GB00B80KRT35;F&C (BMO GAM);419;Industrials;GBP Moderate Allocation;Mixed Assets - Balanced;1.46;5.43;1.65;;12.22;8.78;7.56;2.31;14.97;TRCCI;GBP;Active;0.00 ;0.00 ;0.75;6months;
City Financial Multi Asset Growth Fund R Inc;GB00BDZTGX75;City Financial;32;Financial Services;;;0.66;9.1;1.69;;;;8.65;-6.00;14.98;CTMRI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Baring ASEAN Frontiers Fund Class I GBP Acc;IE00B3BC5W20;Barings;355;Financial Services;ASEAN Equity;Asia Pacific Equity excl Japan;0.64;15.2;1.36;4;24.48;-12.97;3.65;15.54;14.99;BOAFA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Fidelity Global Dividend Fund W-MINC-GBP;GB00BYSYZL73;Fidelity;870;Consumer Defensive;Global Equity Income;Global;;;0.95;;;;;;15.01;WGDIM;GBP;Active;0.00 ;0.00 ;0.75;1month;
F&C MM Navigator Moderate C Acc;GB00B80KPZ54;F&C (BMO GAM);419;Industrials;GBP Moderate Allocation;Mixed Assets - Balanced;1.47;5.42;1.65;;13.48;8.79;7.55;2.30;15.02;TRCCA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Fidelity Global Dividend Fund W-Income (UK);GB00B7778087;Fidelity;870;Consumer Defensive;Global Equity Income;Global;1.47;10.02;0.96;;25.36;8.43;8.46;23.51;15.02;WGDII;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
HSBC Balanced Fund C Income;GB00BG0R4Z55;HSBC;386;Financial Services;;;1.17;7.25;0.72;;;;7.83;3.57;15.03;HSBBI;GBP;Active;0.00 ;0.00 ;0.55;6months;
Fidelity Funds - Japan Fund Y-ACC-JPY;LU0318940771;Fidelity;251;Industrials;Japan Large-Cap Equity;Japan Equity;1.09;11.62;1.07;;20.92;-5.46;19.40;6.87;15.04;YJAY;JPY;Active;0.00 ;0.00 ;0.8;1year;
JOHCM Global Select Fund A GBP Inc;IE00B3DBRN27;J O Hambro;0;Technology;Global Flex-Cap Equity;Global Equity;0.81;14.59;0.81;;30.29;19.28;13.08;5.02;15.06;JOGSI;GBP;Active;0.00 ;0.00 ;0.75;1year;
Neptune Quarterly Income Fund C Inc;GB00B8J70J62;Neptune;6;Financial Services;UK Equity Income;UK Equity Income;0.64;10.26;1;;17.16;7.19;10.17;-5.90;15.07;NPQCI;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Fidelity Funds - America Fund Y-ACC-Euro;LU0755218046;Fidelity;6523;Technology;US Large-Cap Blend Equity;North American Equity;1.46;11.28;1.03;;29.89;12.09;21.31;19.00;15.09;YAME;EUR;Active;0.00 ;0.00 ;0.8;1year;
Fidelity Funds - Indonesia Fund Y-ACC-USD;LU0346391328;Fidelity;366;Financial Services;Indonesia Equity;Asia Pacific Equity excl Japan;0.46;22.86;1.08;5;24.82;-23.81;-3.52;28.39;15.11;YINO;USD;Active;0.00 ;0.00 ;0.8;1year;
HSBC Balanced Fund C Accumulation;GB00BG0R5293;HSBC;386;Financial Services;;;1.17;7.29;0.72;;17.76;5.90;7.80;3.59;15.12;HSBBA;GBP;Active;0.00 ;0.00 ;0.55;6months;
Guinness Global Innovators Fund class Y GBP Acc;IE00BQXX3K83;Guinness;79;Technology;Global Large-Cap Blend Equity;Global Equity;1.44;11.52;0.99;;32.29;22.46;9.75;10.16;32.17;GUIYA;GBP;Active;0.00 ;0.00 ;0.5;6months;
Neptune Quarterly Income Fund C Acc;GB00B8BFZ158;Neptune;6;Financial Services;UK Equity Income;UK Equity Income;0.63;10.24;1;;19.78;7.41;10.18;-6.04;15.15;NPQCA;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
M&G UK Income Distribution Fund I Acc;GB00B7C4NQ54;M&G;657;Financial Services;;;1.02;7.3;0.76;;17.50;12.80;4.32;3.60;15.18;MGETA;GBP;Active;0.00 ;0.00 ;0.6;Quarter;
M&G UK Income Distribution Fund I Inc;GB00B70D5799;M&G;657;Financial Services;;;1.02;7.3;0.76;;17.51;12.79;4.33;3.61;15.18;MGETI;GBP;Active;0.00 ;0.00 ;0.6;Quarter;
Invesco Perpetual Global Distribution Y Inc;GB00BKQV1G90;Invesco Perpetual;34;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.14;5.91;0.77;;;;5.11;-0.11;15.19;INGDI;GBP;Active;0.00 ;0.00 ;0.77;1month;3.11
Invesco Perpetual Global Distribution Y Acc;GB00BKQV1D69;Invesco Perpetual;34;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.15;5.84;0.77;;;;5.13;-0.18;15.19;INGDA;GBP;Active;0.00 ;0.00 ;0.77;1month;3.11
Threadneedle Managed Equity Focused Institutional Acc;GB00B0882T89;Columbia Threadneedle;754;Financial Services;;;1.27;7.04;1.33;4;16.39;8.30;7.97;4.30;15.19;THGBA;GBP;Active;0.00 ;0.00 ;1.2;1year;
Fidelity Multi Asset Adventurous Fund N-Accumulation;GB00BC7GXG11;Fidelity;270;Financial Services;;;1.18;8.58;0.88;;17.32;7.04;9.97;5.78;15.21;NMAVA;GBP;Active;0.00 ;0.00 ;0.5;1year;
Fidelity Multi Asset Allocator Adventurous Fund N-Accumulation;GB00BC7GXC72;Fidelity;36;Financial Services;;;1.06;8.93;0.25;;;6.49;6.71;7.39;15.23;NAADA;GBP;Active;0.00 ;0.00 ;0.25;1year;
Schroder Mixed Distribution Fund Z Income;GB00B66FVB83;Schroder;55;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.08;6.54;0.91;;11.83;10.33;4.42;1.87;15.23;SZMMI;GBP;Active;0.00 ;0.00 ;0.62;1month;
Fidelity Funds - Growth & Income Fund Y-ACC-USD;LU0346392219;Fidelity;87;Financial Services;USD Moderate Allocation;Mixed Assets - Balanced;1.41;8.32;0.98;4;12.30;2.26;6.35;16.80;15.23;YGRI;USD;Active;0.00 ;0.00 ;0.7;1year;
Schroder Mixed Distribution Fund Z Accumulation;GB00B78ST188;Schroder;55;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.08;6.55;0.91;;11.70;10.41;4.40;1.87;15.24;SZMMA;GBP;Active;0.00 ;0.00 ;0.62;1month;
Carmignac Portfolio Investissement F GBP Acc;LU0992626050;Carmignac Gestion;371;Financial Services;Global Large-Cap Growth Equity;Global Equity;1.02;10.92;1.15;;;;11.56;2.77;15.27;CPIFA;GBP;Active;0.00 ;0.00 ;0.85;1year;
Discovery Balanced Fund B Inc;GB00B92M7J45;Discovery;24;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.05;6.23;1.68;;13.06;9.10;5.01;-0.04;15.34;TDBBI;GBP;Active;0.00 ;0.00 ;0.7;Quarter;
Fidelity Funds - European High Yield Fund Y-ACC-Euro;LU0346390270;Fidelity;3347;Financial Services;EUR High Yield Bond;Europe High Yield Bond;0.84;9.65;0.89;4;22.19;6.70;-12.62;20.87;15.34;YEHY;EUR;Active;0.00 ;0.00 ;0.65;1year;
Old Mutual Foundation Fund 3 R GBP Inc;GB00BJ629G11;Old Mutual;12;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.89;6.99;0.79;;;;3.99;-0.20;15.35;SKFTI;GBP;Active;0.00 ;0.00 ;0.5;6months;
Discovery Balanced Fund B Acc;GB00B92M6Y21;Discovery;24;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.06;6.22;1.68;;14.99;9.11;5.01;-0.04;15.35;TDBBA;GBP;Active;0.00 ;0.00 ;0.7;Quarter;
Santander Atlas Portfolio 5 Inst A;GB00BD3CW300;Santander;102;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.95;7.1;0.91;;16.95;7.66;6.57;0.00;15.36;SAAPC;GBP;Active;0.00 ;0.00 ;0.4;6months;
MGTS Greystone Cautious Managed Fund R Acc;GB00B84ZNJ63;Margetts;97;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.23;5.95;1.70;;13.28;7.54;5.68;2.88;15.37;MRGCA;GBP;Active;0.00 ;0.00 ;0.75;6months;
