"","Holding","Fund ISIN","Fund Manager","Fund size","Market sector","Morningstar category","Asset Class","Sharpe ratio 3 year","Standard deviation","OCF/TER(%)","rating","(Current Yr-4)","(Current Yr-3)","(Current Yr-2)","(Current Yr-1)","(Current Yr)","Fund code","Fund currency","Style","Buy","Sell","AMC(%)","Distribution frequency","Distribution yield","HoldingM"
"622","FAST - Emerging Markets Fund Y-ACC-GBP","LU0688696094","Fidelity",1183,"Financial Services","Global Emerging Markets Equity","Emerging Markets Global Equity",0.91,13.7,1.29,5,20.96,4.35,8.3,7.83,18.54,"YMAG","GBP","Active",0,0,1,"1year",NA,"FAST-EmergingMarketsFundY-ACC-GBP"
"623","GS Japan Equity Portfolio R (Snap) (GBP)","LU0858289597","Goldman Sachs AM",918,"Industrials","Japan Large-Cap Equity","Japan Equity",1.28,11.24,0.83,NA,27.59,0.15,16.75,9.99,18.55,"GSJSH","GBP","Active",0,0,0.65,"1year",NA,"GSJapanEquityPortfolioR(Snap)(GBP)"
"624","Aberdeen Multi-Manager Balanced Managed Portfolio Class I - Acc","GB00B843VR45","Aberdeen",34,"Financial Services","","",1.04,7.91,1.52,NA,16.47,9.13,7.49,0.8,18.57,"CMBMA","GBP","Active",0,0,0.5,"6months",NA,"AberdeenMulti-ManagerBalancedManagedPortfolioClassI-Acc"
"625","Aberdeen Multi-Manager Balanced Managed Portfolio Class I - Inc","GB00B83W7300","Aberdeen",34,"Financial Services","","",1.04,7.9,1.52,NA,NA,9.13,7.48,0.8,18.57,"CMBMI","GBP","Active",0,0,0.5,"6months",NA,"AberdeenMulti-ManagerBalancedManagedPortfolioClassI-Inc"
"626","Kames UK Equity Income B Inc","GB00B4ZMYG27","Kames",55,"Financial Services","UK Equity Income","UK Equity Income",1.12,8.82,0.69,NA,19.18,11.08,8.21,3.62,18.58,"AEUBI","GBP","Active",0,0,0.6,"Quarter",NA,"KamesUKEquityIncomeBInc"
"627","Kames UK Opportunities B Acc","GB00B1N9DS91","Kames",67,"Financial Services","UK Large-Cap Growth Equity","UK Equity",0.84,10.42,0.82,3,23.89,8.62,15.81,-7.11,18.58,"AEUBA","GBP","Active",0,0,0.75,"1year",NA,"KamesUKOpportunitiesBAcc"
"628","Threadneedle Managed Equity Institutional Acc","GB00B0882V02","Columbia Threadneedle",366,"Financial Services","","",1.29,7.97,1.41,4,18.23,8.63,8.08,4.62,18.58,"THGLA","GBP","Active",0,0,1.25,"1year",NA,"ThreadneedleManagedEquityInstitutionalAcc"
"629","Kames UK Equity Income B Acc","GB00B4ZMVX86","Kames",55,"Financial Services","UK Equity Income","UK Equity Income",1.12,8.84,0.69,NA,19.19,11.09,8.22,3.61,18.59,"AEUEA","GBP","Active",0,0,0.6,"Quarter",NA,"KamesUKEquityIncomeBAcc"
"630","Man GLG UK Select Fund Professional Accumulation Shares (Class CX)","GB00B3Q3D822","Man GLG",93,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.56,9.73,0.65,3,27.41,16.68,7.81,-7.98,18.59,"SGCXA","GBP","Active",0,0,0.5,"6months",NA,"ManGLGUKSelectFundProfessionalAccumulationShares(ClassCX)"
"631","FP Verbatim Portfolio 6 Fund B Acc","GB00B3MPJG29","FP Verbatim",48,"Financial Services","","",0.88,8.63,1.53,3,15.04,7.54,4.57,1.32,18.6,"VEPKA","GBP","Active",0,0,0.65,"1year",NA,"FPVerbatimPortfolio6FundBAcc"
"632","Fidelity Funds - Global Consumer Industries Fund Y-ACC-Euro","LU0346388613","Fidelity",547,"Consumer Cyclical","","",1.48,11.72,1.07,4,23.32,5.93,14.97,19.9,18.63,"YGCI","EUR","Active",0,0,0.8,"1year",NA,"FidelityFunds-GlobalConsumerIndustriesFundY-ACC-Euro"
"633","Fidelity Funds - International Fund W-ACC-GBP","LU1033663995","Fidelity",1514,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.51,9.48,1.05,NA,NA,NA,13.21,13.5,18.65,"WFIFA","GBP","Active",0,0,0.8,"1year",NA,"FidelityFunds-InternationalFundW-ACC-GBP"
"634","Legal & General UK Equity Income (I) - Inc","GB00B56B1J72","Legal & General",411,"Financial Services","UK Equity Income","UK Equity Income",0.72,9.41,0.88,2,19.83,11.42,4.83,-2.42,18.66,"LGAQI","GBP","Active",0,0,0.75,"Quarter",NA,"Legal&GeneralUKEquityIncome(I)-Inc"
"635","Legal & General UK Equity Income (I) - Acc","GB00B6HBD759","Legal & General",411,"Financial Services","UK Equity Income","UK Equity Income",0.72,9.4,0.88,2,19.8,11.36,4.84,-2.43,18.68,"LGAQA","GBP","Active",0,0,0.75,"Quarter",NA,"Legal&GeneralUKEquityIncome(I)-Acc"
"636","HSBC World Selection - Dynamic Portfolio Retail Income","GB00B3F69Z15","HSBC",870,"Financial Services","","",1.21,8.94,1.46,5,18.21,10.66,7.16,8.01,18.71,"HSWDI","GBP","Active",0,0,1.25,"6months",NA,"HSBCWorldSelection-DynamicPortfolioRetailIncome"
"637","Close FTSE techMark Fund - X (Accumulation)","GB00B87JKQ15","Close Brothers",43,"Technology","Sector Equity Technology","Global Equity",1.01,12.48,0.66,NA,22.52,22.07,16.54,2.7,18.72,"CLFXA","GBP","Passive",0,0,0.45,"6months",NA,"CloseFTSEtechMarkFund-X(Accumulation)"
"638","CF Canlife Global Equity Income Fund C Inc","GB00B52FW788","Canada Life",29,"Financial Services","Global Equity Income","Global Equity Income",1.39,8.7,0.95,NA,16.49,8.5,3.61,14.21,18.73,"CNGII","GBP","Active",0,0,0.75,"6months",NA,"CFCanlifeGlobalEquityIncomeFundCInc"
"639","CF Canlife Global Equity Income Fund C Acc","GB00B5W34S70","Canada Life",29,"Financial Services","Global Equity Income","Global Equity Income",1.41,8.74,0.95,NA,16.47,8.67,4.23,14.23,18.73,"CNGIA","GBP","Active",0,0,0.75,"6months",NA,"CFCanlifeGlobalEquityIncomeFundCAcc"
"640","Threadneedle Global Equity Income Retail Z Acc","GB00B99MQF62","Columbia Threadneedle",1881,"Financial Services","Global Equity Income","Global Equity Income",1.17,10.37,0.88,NA,24.37,5.32,4.57,15.62,18.73,"THGZA","GBP","Active",0,0,0.75,"Quarter",NA,"ThreadneedleGlobalEquityIncomeRetailZAcc"
"641","Threadneedle Global Equity Inc RDR Z Inc","GB00B7S8N055","Columbia Threadneedle",1881,"Financial Services","Global Equity Income","Global Equity Income",1.18,10.34,0.88,NA,25,5.48,4.56,15.62,18.74,"THEIZ","GBP","Active",0,0,0.75,"Quarter",NA,"ThreadneedleGlobalEquityIncRDRZInc"
"642","Kames UK Equity B Acc","GB0007451411","Kames",240,"Financial Services","UK Large-Cap Growth Equity","UK Equity",1.01,9.07,0.66,NA,17.94,9.04,10.49,-1.45,18.8,"AEUKA","GBP","Active",0,0,0.6,"1year",NA,"KamesUKEquityBAcc"
"643","Kames UK Equity B Inc","GB0030522683","Kames",240,"Financial Services","UK Large-Cap Growth Equity","UK Equity",1.01,9.08,0.66,NA,17.92,9.03,10.53,-1.46,18.82,"AEUKI","GBP","Active",0,0,0.6,"1year",NA,"KamesUKEquityBInc"
"644","Threadneedle Managed Equity Fund Z Acc","GB00BRTM3G21","Columbia Threadneedle",372,"Financial Services","","",1.32,7.93,1.06,NA,18,8.4,8.17,4.89,18.91,"THGQA","GBP","Active",0,0,0.9,"1year",NA,"ThreadneedleManagedEquityFundZAcc"
"645","Barclays Global Core R Distribution","GB00B4WZMX77","Barclays",51,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.32,9.32,1.31,NA,NA,7.65,5.38,13.52,18.94,"BGCRI","GBP","Active",0,0,0.9,"1year",NA,"BarclaysGlobalCoreRDistribution"
"646","Neptune Balanced Fund C Inc","GB00B83H6G14","Neptune",596,"Technology","","",0.84,9.88,0.79,NA,12.03,5.3,7.85,-2.23,18.96,"NPBCI","GBP","Active",0,0,0.75,"6months",NA,"NeptuneBalancedFundCInc"
"647","Barclays Global Core R Accumulation","GB00B51B9325","Barclays",51,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.32,9.31,1.31,NA,NA,6.59,5.07,13.62,18.98,"BGCRA","GBP","Active",0,0,0.9,"1year",NA,"BarclaysGlobalCoreRAccumulation"
"648","AXA Ethical Distribution Z Acc","GB0005409262","AXA IM",219,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",1.18,7.01,0.78,NA,17.13,6.21,11.03,-3.8,18.99,"AXEDA","GBP","Active",0,0,0.75,"6months",NA,"AXAEthicalDistributionZAcc"
"649","SLI MyFolio Market IV Plat 1 Acc","GB00B77CW014","Standard Life",460,"Financial Services","","",1.13,8.39,0.72,NA,15.98,9.42,7.04,4.51,18.99,"SLMDF","GBP","Active",0,0,0.4,"1year",NA,"SLIMyFolioMarketIVPlat1Acc"
"650","AXA Framlington UK Select Opps ZI Inc","GB00B703ZS07","AXA IM",3725,"Consumer Cyclical","UK Flex-Cap Equity","UK Equity",0.6,10.84,0.83,NA,20.82,14.27,8.57,-7.14,19,"FMSOI","GBP","Active",0,0,0.75,"6months",NA,"AXAFramlingtonUKSelectOppsZIInc"
"651","AXA Framlington UK Select Opps ZI Acc","GB00B7FD4C20","AXA IM",3725,"Consumer Cyclical","UK Flex-Cap Equity","UK Equity",0.6,10.82,0.83,NA,21,14.14,8.58,-7.12,19.02,"FMSOA","GBP","Active",0,0,0.75,"6months",NA,"AXAFramlingtonUKSelectOppsZIAcc"
"652","Close Tactical Select Passive Growth Fund - X (Accumulation)","GB00B7SG1Y98","Close Brothers",11,"Financial Services","","",1.18,8.07,0.52,NA,14.63,8.68,7.27,3.01,19.08,"CLTGA","GBP","Active",0,0,0.3,"6months",NA,"CloseTacticalSelectPassiveGrowthFund-X(Accumulation)"
"653","Liontrust Macro UK Growth Fund I - Acc","GB00B7MVBY07","Liontrust",43,"Financial Services","UK Flex-Cap Equity","UK Equity",0.56,10.72,0.98,NA,NA,19.3,11.29,-12.51,19.08,"LTMUA","GBP","Active",0,0,0.75,"6months",NA,"LiontrustMacroUKGrowthFundI-Acc"
"654","Neptune Balanced C Acc","GB00B85K7211","Neptune",596,"Technology","","",0.85,9.88,0.79,NA,12.79,6.35,8.14,-2.24,19.08,"NPBAA","GBP","Active",0,0,0.75,"6months",NA,"NeptuneBalancedCAcc"
"655","Liontrust Macro UK Growth Fund I - Inc","GB00B8DB7264","Liontrust",43,"Financial Services","UK Flex-Cap Equity","UK Equity",0.57,10.72,0.98,NA,NA,19.31,11.37,-12.5,19.1,"LTMUI","GBP","Active",0,0,0.75,"6months",NA,"LiontrustMacroUKGrowthFundI-Inc"
"656","HSBC S&P 500 ETF","IE00B5KQNG97","HSBC",2002,"Technology","US Large-Cap Blend Equity","North American Equity",1.8,10.15,0.09,5,22.72,8.28,14.23,19.29,19.1,"XHSPF","GBP","Passive",0,0,0.09,"6months",NA,"HSBCS&P500ETF"
"657","Barclays Wealth Global Markets 5 R Accumulation","GB00B4YPY060","Barclays",4,"Financial Services","","",0.86,8.8,0.45,2,7.97,13.22,1.53,1.67,19.11,"BCMCA","GBP","Active",0,0,0.35,"1year",NA,"BarclaysWealthGlobalMarkets5RAccumulation"
"658","City Financial Multi Asset Dynamic Fund I Inc","GB00BH4TWH26","City Financial",33,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",0.79,10.77,1.87,NA,13.22,9.66,11.95,-5.86,19.12,"CTYBI","GBP","Active",0,0,0.75,"6months",NA,"CityFinancialMultiAssetDynamicFundIInc"
"659","City Financial Multi Asset Dynamic Fund I Acc","GB00BH4TWG19","City Financial",33,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",0.79,10.78,1.87,NA,13.26,9.66,11.94,-5.86,19.13,"CTYBA","GBP","Active",0,0,0.75,"6months",NA,"CityFinancialMultiAssetDynamicFundIAcc"
"660","Neptune UK Mid Cap C Inc","GB00BWFGFL27","Neptune",587,"Industrials","UK Mid-Cap Equity","UK Small/Mid Cap Equity",NA,NA,0.82,NA,NA,NA,NA,-10.35,19.14,"NUMCI","GBP","Active",0,0,0.75,"6months",NA,"NeptuneUKMidCapCInc"
"661","BGF Latin American D4RF GBP","LU0827884098","BlackRock",1103,"Financial Services","Latin America Equity","Emerging Markets Regional Equity",0.25,24.97,1.34,NA,NA,-0.21,-15.99,6.28,19.16,"BGLAI","GBP","Active",0,0,1,"1year",NA,"BGFLatinAmericanD4RFGBP"
"662","IFSL Sinfonia Balanced Managed Portfolio Class A Accumulation","GB00B2R2YJ93","BNP Paribas",30,"Financial Services","","",0.99,8.43,1.08,3,15.93,7.86,7.44,1.1,19.19,"SFBAA","GBP","Active",0,0,0.65,"6months",NA,"IFSLSinfoniaBalancedManagedPortfolioClassAAccumulation"
"663","Jupiter Growth & Income Fund I Class Acc","GB00B6QQDN77","Jupiter",79,"Financial Services","UK Large-Cap Value Equity","UK Equity",0.61,9.59,1.01,NA,26.68,15.51,9.09,-9.27,19.21,"JUGCA","GBP","Active",0,0,0.75,"6months",NA,"JupiterGrowth&IncomeFundIClassAcc"
"664","Jupiter Growth & Income Fund I Class Inc","GB00B6QDDF07","Jupiter",79,"Financial Services","UK Large-Cap Value Equity","UK Equity",0.62,9.59,1.01,NA,26.63,15.52,9.09,-9.25,19.21,"JUGCI","GBP","Active",0,0,0.75,"6months",NA,"JupiterGrowth&IncomeFundIClassInc"
"665","HSBC World Selection - Dynamic Portfolio Retail Accumulation","GB00B3F6GR29","HSBC",870,"Financial Services","","",1.23,9,1.46,5,18.19,10.73,7.1,8.2,19.21,"HSWDA","GBP","Active",0,0,1.25,"6months",NA,"HSBCWorldSelection-DynamicPortfolioRetailAccumulation"
"666","Aviva Investors UK Equity Income Fund SC 2 Acc","GB00B6R51K64","Aviva Investors",976,"Financial Services","UK Equity Income","UK Equity Income",1.1,8.41,0.81,NA,22.71,12.74,7.64,1.24,19.21,"NUUQA","GBP","Active",0,0,0.7,"6months",NA,"AvivaInvestorsUKEquityIncomeFundSC2Acc"
"667","Aviva Investors UK Equity Income Fund SC 2 Inc","GB0004460803","Aviva Investors",976,"Financial Services","UK Equity Income","UK Equity Income",1.1,8.41,0.81,NA,22.66,12.76,7.65,1.24,19.22,"NUUQI","GBP","Active",0,0,0.7,"6months",NA,"AvivaInvestorsUKEquityIncomeFundSC2Inc"
"668","HSBC MSCI USA ETF","IE00B5WFQ436","HSBC",123,"Technology","US Large-Cap Blend Equity","North American Equity",1.77,10.15,0.3,4,22.14,9.28,14.41,18.42,19.24,"XHMSU","GBP","Passive",0,0,0.3,"6months",NA,"HSBCMSCIUSAETF"
"669","F&C Responsible UK Income Fund 2 Inc","GB0033144857","F&C (BMO GAM)",327,"Financial Services","UK Equity Income","UK Equity Income",1.05,8.69,0.82,NA,21.6,12.95,11.79,-2.07,19.24,"FCSSI","GBP","Active",0,0,0.75,"Quarter",NA,"F&CResponsibleUKIncomeFund2Inc"
"670","SLI Global Equity Income Plat 1 Inc","GB00B76FLF97","Standard Life",172,"Financial Services","Global Equity Income","Global Equity Income",1.19,10.42,0.92,NA,25.72,9.64,9.06,10.66,19.25,"SLGIE","GBP","Active",0,0,0.75,"Quarter",NA,"SLIGlobalEquityIncomePlat1Inc"
"671","F&C Responsible UK Income Fund 2 Acc","GB00B4NKFT88","F&C (BMO GAM)",327,"Financial Services","UK Equity Income","UK Equity Income",1.05,8.69,0.8,NA,NA,12.96,11.79,-2.11,19.27,"FCSTT","GBP","Active",0,0,0.75,"Quarter",NA,"F&CResponsibleUKIncomeFund2Acc"
"672","Neptune UK Mid Cap D Acc","GB00BFZC7595","Neptune",587,"Industrials","UK Mid-Cap Equity","UK Small/Mid Cap Equity",1.03,12.39,0.72,NA,31.28,21.05,24.57,-10.26,19.28,"NUMDA","GBP","Active",0,0,0.65,"6months",NA,"NeptuneUKMidCapDAcc"
"673","Royal London UK Equity Fund M Acc","GB00B67MDN40","Royal London",621,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.74,9.3,0.65,3,15.77,14.84,5.25,-2.38,19.28,"ROQMA","GBP","Active",0,0,0.62,"6months",NA,"RoyalLondonUKEquityFundMAcc"
"674","BGF Global Equity Income D5GRF GBP","LU0827881748","BlackRock",1746,"Consumer Defensive","Global Equity Income","Global Equity Income",1.33,10.39,1.07,NA,NA,5.78,4.68,21.6,19.29,"BGGLD","GBP","Active",0,0,0.75,"Quarter",NA,"BGFGlobalEquityIncomeD5GRFGBP"
"675","SLI Global Equity Income Plat 1 Acc","GB00B7FVHF03","Standard Life",172,"Financial Services","Global Equity Income","Global Equity Income",1.24,9.97,0.92,NA,25.75,9.71,9.1,10.71,19.31,"SLGGI","GBP","Active",0,0,0.75,"Quarter",NA,"SLIGlobalEquityIncomePlat1Acc"
"676","Premier Liberation No V Class C Accumulation","GB00B675ST41","Premier",115,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",1.25,7.14,1.37,4,16.22,10.06,7.34,2.45,19.33,"PMLSA","GBP","Active",0,0,0.6,"6months",NA,"PremierLiberationNoVClassCAccumulation"
"677","HSBC MSCI World ETF","IE00B4X9L533","HSBC",201,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.49,9.69,0.15,4,19.96,7.6,7.55,11.62,19.34,"XHMSW","GBP","Passive",0,0,0.15,"Quarter",NA,"HSBCMSCIWorldETF"
"678","Baillie Gifford Shin Nippon PLC","GB0000706274","Baillie Gifford",56,"Technology","Japan Small/Mid-Cap Equity","Japan Equity",1.53,17.41,1.02,4,41.31,13.94,27.07,40.34,19.35,"BGSLL","GBP","Active",0.5,0,0.8,"1year",NA,"BaillieGiffordShinNipponPLC"
"679","Premier Liberation No V Class C Income","GB00B3NZPP27","Premier",115,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",1.25,7.15,1.37,4,16.33,10.01,7.34,2.46,19.35,"PMLSI","GBP","Active",0,0,0.6,"6months",NA,"PremierLiberationNoVClassCIncome"
"680","Nordea 1 - Stable Emerging Market Fund BC GBP","LU0841619421","Nordea Investment Management AB",1497,"Financial Services","Global Emerging Markets Equity","Emerging Markets Global Equity",0.8,15.26,1.39,NA,NA,NA,7.51,10.12,19.35,"NOSEA","GBP","Active",0,0,1.1,"1year",NA,"Nordea1-StableEmergingMarketFundBCGBP"
"681","iShares MSCI World UCITS ETF USD Dist (GBP)","IE00B0M62Q58","IShares",4130,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.52,9.65,0.5,NA,20.13,8.28,8.04,11.96,19.35,"XIMSW","GBP","Passive",0,0,0.5,"Quarter",NA,"iSharesMSCIWorldUCITSETFUSDDist(GBP)"
"682","Schroder Multi-Manager UK Growth Fund Z Acc","GB00B5ZZ8006","Schroders",67,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.68,8.64,1.47,NA,27.36,13.65,3.42,-5.05,19.36,"CXUGA","GBP","Active",0,0,0.5,"6months",NA,"SchroderMulti-ManagerUKGrowthFundZAcc"
"683","iShares MSCI EM Small Cap UCITS ETF USD Dist (GBP)","IE00B3F81G20","IShares",281,"Technology","","",0.7,15.03,0.74,NA,11.61,-2.75,6.08,0.74,19.4,"XIMMS","GBP","Passive",0,0,0.2,"6months",NA,"iSharesMSCIEMSmallCapUCITSETFUSDDist(GBP)"
"684","Vanguard FTSE Emerging Markets GBP","IE00B3VVMM84","Vanguard",1053,"Financial Services","Global Emerging Markets Equity","Emerging Markets Global Equity",0.69,16.29,0.25,NA,2.82,-0.61,3.26,1.8,19.41,"XVFEI","GBP","Passive",0,0,0.25,"Quarter",NA,"VanguardFTSEEmergingMarketsGBP"
"685","Aviva Investors Global Equity Income Fund SC 2 Acc","GB0030442098","Aviva Investors",131,"Technology","Global Equity Income","Global Equity Income",1.33,10.3,0.92,NA,19.13,6.7,12.99,10.99,19.42,"NUGEA","GBP","Active",0,0,0.75,"Quarter",NA,"AvivaInvestorsGlobalEquityIncomeFundSC2Acc"
"686","Aviva Investors Global Equity Income Fund SC 2 Inc","GB00B9LCNW07","Aviva Investors",227,"Technology","Global Equity Income","Global Equity Income",1.33,10.3,0.92,4,NA,6.65,13.01,10.98,19.42,"NUGEI","GBP","Active",0,0,0.75,"Quarter",NA,"AvivaInvestorsGlobalEquityIncomeFundSC2Inc"
"687","HSBC World Selection Dynamic Portfolio C Inc","GB00B84JBP02","HSBC",854,"Financial Services","","",1.28,8.92,0.81,NA,18.61,11.28,7.72,8.55,19.42,"HSSDI","GBP","Active",0,0,0.55,"6months",NA,"HSBCWorldSelectionDynamicPortfolioCInc"
"688","Schroder Multi-Manager UK Growth Fund Z Inc","GB00B6Y7N654","Schroders",67,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.66,8.76,1.47,NA,27.31,13.71,3.36,-5.09,19.43,"CXUGI","GBP","Active",0,0,0.5,"6months",NA,"SchroderMulti-ManagerUKGrowthFundZInc"
"689","BNY Mellon Long Term Global Equity Institutional W Inc","GB00B7V94793","BNY Mellon",604,"Technology","Global Large-Cap Growth Equity","Global",1.41,10.53,0.81,NA,NA,4.82,9.97,17.46,19.43,"BNMLI","GBP","Active",0,0,0.75,"1year",NA,"BNYMellonLongTermGlobalEquityInstitutionalWInc"
"690","BNY Mellon Long Term Global Equity Institutional W Acc","GB00B8K6W529","BNY Mellon",604,"Technology","Global Large-Cap Growth Equity","Global",1.41,10.52,0.81,NA,20.58,4.9,9.98,17.46,19.44,"BNMLA","GBP","Active",0,0,0.75,"1year",NA,"BNYMellonLongTermGlobalEquityInstitutionalWAcc"
"691","Barclays UK Alpha R Distribution","GB00B51BVV49","Barclays",607,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.82,8.82,1.1,NA,NA,17.11,5.34,-3.97,19.45,"BKARI","GBP","Active",0,0,0.9,"6months",NA,"BarclaysUKAlphaRDistribution"
"692","Barclays UK Alpha R Accumulation","GB00B6TRT400","Barclays",607,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.82,8.84,1.11,NA,31.12,17.26,5.33,-3.95,19.45,"BUFRA","GBP","Active",0,0,0.9,"6months",NA,"BarclaysUKAlphaRAccumulation"
"693","CF Canlife Portfolio VII Fund C Acc","GB00B76WGJ99","Canada Life",17,"Financial Services","","",1.01,8.52,1.02,NA,NA,NA,8.92,-1.58,19.46,"CNPGA","GBP","Active",0,0,0.45,"6months",NA,"CFCanlifePortfolioVIIFundCAcc"
"694","MGTS Future Money Dynamic Growth R Acc","GB00B8FFPK05","Margetts",44,"Financial Services","","",0.89,8.4,1.64,NA,16.33,10.09,5.78,-0.72,19.47,"MRDGA","GBP","Active",0,0,0.75,"6months",NA,"MGTSFutureMoneyDynamicGrowthRAcc"
"695","MGTS Future Money Dynamic Growth R Inc","GB00BBL4SX65","Margetts",44,"Financial Services","","",0.9,8.36,1.64,NA,15.97,10.23,5.8,-0.74,19.48,"MRDGI","GBP","Active",0,0,0.75,"6months",NA,"MGTSFutureMoneyDynamicGrowthRInc"
"696","Royal London UK Equity Income Fund M Acc","GB00B8Y4ZB91","Royal London",1878,"Financial Services","UK Equity Income","UK Equity Income",1.01,9.25,0.68,NA,28.29,20.83,7.19,3.12,19.51,"ROUMA","GBP","Active",0,0,0.62,"Quarter",NA,"RoyalLondonUKEquityIncomeFundMAcc"
"697","Vanguard FTSE All World GBP","IE00B3RBWM25","Vanguard",992,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.46,9.92,0.25,NA,18.76,6.75,7.48,11.12,19.54,"XVFAI","GBP","Passive",0,0,0.25,"Quarter",NA,"VanguardFTSEAllWorldGBP"
"698","Sarasin UK Equity P Acc","GB00B7XS1T58","Sarasin & Partners",50,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.47,9.79,0.97,NA,17.46,12.5,1.69,-6.73,19.57,"SAKPA","GBP","Active",0,0,0.75,"Quarter",NA,"SarasinUKEquityPAcc"
"699","iShares FTSE 100 UCITS ETF GBP Acc (GBP)","IE00B53HP851","IShares",428,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.68,10.14,0.07,2,17.58,12.29,0.78,0.01,19.57,"XCFTA","GBP","Passive",0,0,0.07,"1year",NA,"iSharesFTSE100UCITSETFGBPAcc(GBP)"
"700","Royal London UK Equity Income Fund M Inc","GB00B3M9JJ78","Royal London",1883,"Financial Services","UK Equity Income","UK Equity Income",1.01,9.25,0.68,5,28.58,20.88,7.18,3.08,19.57,"ROUMI","GBP","Active",0,0,0.62,"Quarter",NA,"RoyalLondonUKEquityIncomeFundMInc"
"701","SLI UK Equity High Inc Plat 1 Acc","GB00B7FTRJ84","Standard Life",657,"Financial Services","UK Equity Income","UK Equity Income",0.64,10.98,0.89,NA,23.93,14.81,11.77,-10.39,19.58,"SLEIH","GBP","Active",0,0,0.75,"6months",NA,"SLIUKEquityHighIncPlat1Acc"
"702","Sarasin UK Equity P Inc","GB00B887BV65","Sarasin & Partners",50,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.46,9.74,0.97,NA,17.39,12.36,1.68,-6.87,19.59,"SAKPI","GBP","Active",0,0,0.75,"Quarter",NA,"SarasinUKEquityPInc"
"703","Old Mutual Foundation Fund 4 R GBP Acc","GB00BJ629P02","Old Mutual",436,"Financial Services","","",0.94,8.55,0.8,NA,NA,NA,6.41,-0.82,19.6,"SKFFA","GBP","Active",0,0,0.5,"6months",NA,"OldMutualFoundationFund4RGBPAcc"
"704","SLI UK Equity High Inc Plat 1 Inc","GB00B558NM60","Standard Life",657,"Financial Services","UK Equity Income","UK Equity Income",0.61,11.61,0.89,NA,23.89,14.67,11.69,-10.41,19.61,"SLEHI","GBP","Active",0,0,0.75,"6months",NA,"SLIUKEquityHighIncPlat1Inc"
"705","Henderson UK Tracker Fund A Acc","GB0032898404","Henderson",89,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.62,10.02,0.74,NA,14.84,10.53,0.26,-0.04,19.63,"GAUTA","GBP","Passive",0,0,0.5,"6months",NA,"HendersonUKTrackerFundAAcc"
"706","iShares China Large Cap UCITS ETF USD Dist (GBP)","IE00B02KXK85","IShares",422,"Financial Services","China Equity","Emerging Markets Regional Equity",0.67,19.75,0.74,NA,13.95,-10.71,32.42,-11.76,19.64,"XIFCT","GBP","Passive",0,0,0.74,"Quarter",NA,"iSharesChinaLargeCapUCITSETFUSDDist(GBP)"
"707","Smith & Williamson Far Eastern Income and Growth Fund B Inc","GB00B4NXPJ75","Smith & Williamson",35,"Technology","Asia-Pacific inc. Japan Equity","Asia Pacific Equity excl Japan",1.23,13.84,0.77,NA,20.05,4.84,8.68,23.63,19.65,"SMFEI","GBP","Active",0,0,0.65,"1year",NA,"Smith&WilliamsonFarEasternIncomeandGrowthFundBInc"
"708","Barclays UK Alpha (Series 2) R Distribution","GB00B4NJ9Z91","Barclays",50,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.79,8.93,1.22,NA,NA,17.91,5.13,-4.29,19.68,"BKSRI","GBP","Active",0,0,0.9,"1year",NA,"BarclaysUKAlpha(Series2)RDistribution"
"709","iShares MSCI Japan UCITS ETF USD Dist (GBP)","IE00B02KXH56","IShares",1476,"Industrials","Japan Large-Cap Equity","Japan Equity",1.15,12.09,0.59,NA,25.1,-5.34,15.64,6.48,19.68,"XIMSJ","GBP","Passive",0,0,0.59,"6months",NA,"iSharesMSCIJapanUCITSETFUSDDist(GBP)"
"710","BlackRock World Mining Trust Plc","GB0005774855","BlackRock Fund Managers Limited",1514,"Basic Materials","Sector Equity Natural Resources","Commodities - General",0.08,33.87,1.2,2,-24.27,6.92,-32.6,10.5,19.72,"BRWML","GBP","Active",0.5,0,1.2,"6months",NA,"BlackRockWorldMiningTrustPlc"
